Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
Kepler-1592b,,0.137,3.05710069,,,transit,4400,1.18,6213,
Kepler-1593b,,0.283,174.509835,,,transit,2460,0.81,4995,Potentially habitable exoplanet
Kepler-1594b,,0.095,2.71603809,,,transit,3600,1.06,5946,
Kepler-1595b,,0.11,4.56380468,,,transit,2740,0.84,5203,
Kepler-1596b,,0.17,66.373379,,,transit,3800,0.95,5706,
Kepler-1597b,,0.095,2.94654179,,,transit,4090,1.25,6377,
Kepler-1598b,,0.085,4.34195123,,,transit,2390,1.07,5940,
Kepler-1599b,,0.145,122.363553,,,transit,3270,0.99,5767,
Kepler-1600b,,0.279,386.370548,,,transit,3240,0.86,5214,
Kepler-1601b,,0.073,2.20921951,,,transit,2200,1.04,5869,
Kepler-1602b,,0.12,11.17931605,,,transit,2660,1.22,6296,
Kepler-1603b,,0.115,2.27163926,,,transit,5710,1.21,6241,
Kepler-1604b,,0.126,0.68368426,,,transit,1830,0.81,4976,
Kepler-1605b,,0.096,85.7565495,,,transit,730,0.86,5280,
Kepler-1606b,,0.185,196.435224,,,transit,2900,0.9,5422,Potentially habitable exoplanet
Kepler-1607b,,0.082,13.6473676,,,transit,2400,1.14,6116,
Kepler-1608b,,0.154,16.4735686,,,transit,2710,0.75,4992,
Kepler-1609b,,0.198,114.34219,,,transit,4840,1.18,6132,
Kepler-1610b,,0.144,8.70181574,,,transit,3470,0.91,5383,
Kepler-1611b,,0.072,5.1762429,,,transit,2240,0.94,5605,
Kepler-1612b,,0.092,3.91795101,,,transit,2730,0.96,5643,
Kepler-1613b,,0.186,1.5184299,,,transit,2790,1.08,6005,
Kepler-1614b,,0.133,3.9466141,,,transit,3200,0.79,5121,
Kepler-1615b,,0.184,47.3126192,,,transit,3100,1.04,5865,
Kepler-1616b,,0.091,6.76284377,,,transit,2810,1.21,6266,
Kepler-1617b,,0.107,27.4785572,,,transit,2650,1.15,6167,
Kepler-1618b,,0.112,6.10826019,,,transit,4040,1.41,6620,
Kepler-1619b,,0.068,23.6225913,,,transit,1700,1,5852,
Kepler-1620b,,0.144,101.951829,,,transit,2520,1.15,6157,
Kepler-1621b,,0.193,92.263714,,,transit,4770,1.15,6158,
Kepler-1622b,,0.131,10.8118737,,,transit,3020,1.31,6436,
Kepler-1623b,,0.117,4.36128348,,,transit,3220,1,5772,
Kepler-1624b,,0.509,3.29030452,,,transit,650,0.5,3636,
Kepler-1625b,,0.541,287.378949,,,transit,3960,0.96,5677,
Kepler-1626b,,0.18,4.13962966,,,transit,5600,1.51,6826,
Kepler-1627b,,0.329,7.20283653,,,transit,1010,0.87,5445,Young (38 million years) host star[60]
Kepler-1628b,,0.574,76.378033,,,transit,1150,0.55,3724,
Kepler-1629b,,0.069,3.87595807,,,transit,1300,1.01,5776,
Kepler-1630b,,0.195,509.997402,,,transit,910,0.66,4736,
Kepler-1631b,,0.12,4.09513932,,,transit,3900,0.97,5679,
Kepler-1632b,,0.22,448.303558,,,transit,1900,1.12,6137,
Kepler-1633b,,0.141,186.404271,,,transit,2650,1.2,6256,
Kepler-1634b,,0.285,374.876239,,,transit,2130,0.92,5474,
Kepler-1635b,,0.325,469.63111,,,transit,3540,0.89,5347,
Kepler-1636b,,0.288,425.47785,,,transit,5110,1.01,5797,
Kepler-1637b,,0.079,6.10960324,,,transit,1650,1.02,5789,
Kepler-1638b,,0.167,259.33683,,,transit,2870,0.97,5710,Potentially habitable exoplanet
Kepler-1639b,,0.23,9.878482,,,transit,3810,1.12,6150,
Kepler-1640b,,0.43,7.5844126,,,transit,4500,1.27,6324,
Kepler-1641b,,0.277,19.672266,,,transit,3130,1.12,6152,
Kepler-1641c,,0.263,32.657212,,,transit,3130,1.12,6152,
Kepler-1642b,,0.285,12.2057513,,,transit,1460,0.88,5355,
Kepler-1642c,,0.237,6.6513802,,,transit,1460,0.88,5355,
Kepler-1643b,,0.205,5.34264507,,,transit,1350,0.92,5508,
Kepler-1644b,,0.168,21.0907758,,,transit,1930,0.89,5499,
Kepler-1645b,,0.159,16.1779561,,,transit,2750,1.02,5812,
Kepler-1646b,,0.11,4.48558383,,,transit,260,0.24,3299,
Kepler-1647b,1.51968,1.059,1107.5923,2.7205,,transit,,1.22,6210,
KOI-847 c,,0.5,1106.243,2.08,,transit,3461,0.98,5692,Unconfirmed. Also known as Kepler-700c.
OGLE-2007-BLG-349(AB)c,0.25171,,2557,2.59,,microlensing,9000,0.41,,[61]
OGLE-2012-BLG-0724Lb,0.47,,,1.6,,microlensing,22000,0.29,,[62]
OGLE-2014-BLG-0676Lb,3.09,,,4.4,,microlensing,7200,0.62,,[63]
OGLE-2015-BLG-0051Lb [id],0.72,,,0.73,,microlensing,27000,0.1,,[64]
OGLE-2015-BLG-0954Lb,3.9,,,1.2,,microlensing,2000,0.33,,[65]
OGLE-2012-BLG-0950Lb,0.11012,,,2.7,,microlensing,9800,0.56,,[66]
OGLE-2014-BLG-1760Lb [id],0.56,,,1.75,,microlensing,22400,0.51,,[67]
Pr0211 c,7.79,,4850,5.5,,radial vel.,,0.94,5300,Host star belongs to Beehive Cluster[68]
Proxima Centauri b,0.004,,11.186,0.0485,,radial vel.,4.2,0.12,3050,"Nearest exoplanet to the Solar System, and is potentially habitable[69]"
Rho Coronae Borealis c,0.07866,,102.54,0.4123,448,radial vel.,56.2,0.89,5627,[22]
TRAPPIST-1b,0.00267,0.097,1.51087081,0.01111,400,transit,39,0.08,2559,[70]
TRAPPIST-1c,0.00434,0.094,2.4218233,0.01521,342,transit,39,0.08,2559,[70]
TRAPPIST-1d,0.00129,0.069,4.04961,0.02144,288,transit,39,0.08,2559,Potentially habitable exoplanet[70]
TYC 3667-1280-1 b,5.4,,26.468,0.21,1350,radial vel.,1570,1.87,5130,Red giant star host[71]
V830 Tauri b,0.7,,4.927,0.057,,radial vel.,490,1,4250,[72]
WASP-92b,0.805,1.461,2.1746742,0.0348,1871,transit,1700,1.19,6280,[73]
WASP-93b,1.47,1.597,2.7325321,0.04211,,transit,820,1.33,6700,[73]
WASP-113b,0.475,1.409,4.54216875,0.05885,1496,transit,1200,1.32,5890,[74]
WASP-114b,1.769,1.339,1.5487743,0.02851,2043,transit,1500,1.29,5940,[74]
WASP-118b,0.514,1.44,4.0460435,0.05453,,transit,820,1.32,6410,[73]
WASP-119b,1.23,1.4,2.49979,0.0363,1600,transit,1090,1.02,5650,[75]
WASP-124b,0.6,1.24,3.37265,0.0449,1400,transit,1410,1.07,6050,[75]
WASP-126b,0.28,0.96,3.2888,0.0449,1480,transit,760,1.12,5800,[75]
WASP-127b,0.18,1.37,4.178062,0.052,,transit,330,1.08,5620,[76][77][78]
WASP-129b,1,0.93,5.748145,0.0628,1100,transit,800,1,5900,[75]
WASP-130b,1.23,0.89,11.55098,0.1012,833,transit,590,1.04,5625,[79]
WASP-131b,0.27,1.22,5.322023,0.0607,1400,transit,820,1.06,6030,[79]
WASP-132b,0.41,0.87,7.133521,0.067,763,transit,390,0.8,4775,[79]
WASP-133b,1.16,1.21,2.176423,0.0345,1790,transit,1780,1.16,5700,[75]
WASP-136b,1.51,1.38,5.215357,0.0661,,transit,530,1.41,6260,[78]
WASP-138b,1.22,1.09,3.634433,0.0494,,transit,1000,1.22,6272,[78]
WASP-139b,0.117,0.8,5.924262,0.062,910,transit,750,0.92,5310,[79]
WASP-140b,2.44,1.44,2.2359835,0.0323,1320,transit,590,0.9,5260,[79]
WASP-141b,2.69,1.21,3.310651,0.0469,1540,transit,1900,1.25,5900,[79]
WASP-142b,0.84,1.53,2.052868,0.0347,2000,transit,2700,1.33,6010,[79]
WASP-157b,0.574,1.065,3.9516205,0.0529,1339,transit,,1.26,5838,[80]
XO-6b,4.4,2.07,3.7650007,0.0815,1577,transit,759,1.47,6720,[81]
YBP 401 b,0.46,,4.087,,,radial vel.,,1.14,6165,Belongs to Messier 67[82]
