Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
Kepler-793b,,0.122,4.24153639,,,transit,2590,0.98,5745,[56]
Kepler-794b,,0.188,11.13125132,,,transit,2490,1.19,5839,[56]
Kepler-795b,,0.15,29.6193421,,,transit,1490,0.94,5631,[56]
Kepler-796b,,0.116,6.40087618,,,transit,1230,0.93,5475,[56]
Kepler-797b,,0.194,27.07237711,,,transit,2450,0.96,5680,[56]
Kepler-798b,,0.213,13.71933369,,,transit,3540,1.19,6224,[56]
Kepler-799b,,0.614,133.4605235,,,transit,3360,0.95,5681,[56]
Kepler-800b,,0.254,14.13176026,,,transit,3420,0.85,5315,[56]
Kepler-801b,,0.178,11.41928253,,,transit,1370,0.67,4435,[56]
Kepler-802b,,0.316,40.0587473,,,transit,2700,0.93,5507,[56]
Kepler-803b,,0.338,50.28638192,,,transit,2010,1.05,5919,[56]
Kepler-804b,,0.173,14.37457351,,,transit,2110,1.01,5817,[56]
Kepler-804c,,0.102,9.65185017,,,transit,2110,1.01,5817,[56]
Kepler-805b,,0.258,30.8638931,,,transit,2140,1.19,6112,[56]
Kepler-806b,,0.102,8.09219642,,,transit,850,0.99,5770,[56]
Kepler-807b,,0.93,117.9310878,,,transit,4280,1.04,5965,[56]
Kepler-808b,,0.13,0.63133235,,,transit,1050,0.76,4653,[56]
Kepler-809b,,0.269,55.63934,,,transit,3040,0.99,5734,[56]
Kepler-810b,,0.172,4.59725385,,,transit,5070,1.03,5803,[56]
Kepler-811b,,0.241,23.58447697,,,transit,2760,1.01,5747,[56]
Kepler-812b,,0.317,10.11716531,,,transit,4830,1.45,6761,[56]
Kepler-813b,,0.191,19.12947337,,,transit,2700,0.95,5743,[56]
Kepler-814b,,0.189,6.1469851,,,transit,4330,1.15,6162,[56]
Kepler-815b,,0.367,8.57503552,,,transit,3910,1.25,5028,[56]
Kepler-816b,,0.914,10.50682565,,,transit,3450,0.9,5286,[56]
Kepler-817b,,0.806,3.99010623,,,transit,4570,1.03,5861,[56]
Kepler-818b,,0.456,10.03538581,,,transit,3150,0.94,5638,[56]
Kepler-819b,,0.246,33.1995648,,,transit,2350,0.86,5279,[56]
Kepler-820b,,0.543,127.8338098,,,transit,3230,1.23,6260,[56]
Kepler-821b,,0.117,1.92279873,,,transit,2020,0.84,5191,[56]
Kepler-822b,,0.158,3.22296927,,,transit,3120,1.06,5928,[56]
Kepler-823b,,0.14,4.16809082,,,transit,2920,0.98,5643,[56]
Kepler-824b,,0.167,4.51436633,,,transit,4410,1.15,6035,[56]
Kepler-825b,,0.136,3.77360059,,,transit,2700,1.03,5976,[56]
Kepler-825c,,0.164,8.1818246,,,transit,2700,1.03,5976,[56]
Kepler-826b,,0.112,4.48758907,,,transit,2120,1.05,6079,[56]
Kepler-827b,,0.502,51.92927591,,,transit,4410,0.93,5602,[56]
Kepler-828b,,0.135,0.56785714,,,transit,2040,0.81,5039,[56]
Kepler-829b,,0.188,6.88337562,,,transit,3110,0.98,5698,[56]
Kepler-830b,,0.152,11.29695137,,,transit,3660,1.07,6037,[56]
Kepler-831b,,0.113,5.62153941,,,transit,1880,0.99,5732,[56]
Kepler-832b,,0.184,7.1396941,,,transit,4390,0.92,5596,[56]
Kepler-833b,,0.18,18.7546998,,,transit,1370,0.64,4339,[56]
Kepler-834b,,0.18,13.32388301,,,transit,2000,0.7,4554,[56]
Kepler-835b,,0.249,11.41909375,,,transit,6560,1.08,5954,[56]
Kepler-836b,,0.244,11.36112327,,,transit,3270,1.03,5895,[56]
Kepler-837b,,0.228,16.56059504,,,transit,2760,0.85,5403,[56]
Kepler-838b,,0.244,15.74957994,,,transit,3900,0.98,5770,[56]
Kepler-839b,,0.229,37.8144514,,,transit,2720,1.22,6058,[56]
Kepler-840b,,1.523,2.49577962,,,transit,2540,1.04,5920,[56]
Kepler-841b,,0.467,124.4198398,,,transit,3430,0.85,5324,[56]
Kepler-842b,,0.143,1.21956827,,,transit,1800,0.78,4848,[56]
Kepler-843b,,0.231,2.05387982,,,transit,4070,1.02,5830,[56]
Kepler-844b,,0.15,2.61302086,,,transit,1290,0.59,4128,[56]
Kepler-845b,,0.182,0.92785982,,,transit,1540,0.79,4913,[56]
Kepler-846b,,0.221,19.80792185,,,transit,4020,0.94,5579,[56]
Kepler-847b,,0.105,2.3432319,,,transit,1730,0.83,4940,[56]
Kepler-848b,,0.152,6.91134416,,,transit,2600,1.01,5695,[56]
Kepler-849b,,0.637,394.6244904,,,transit,2440,1.23,6059,[56]
Kepler-850b,,0.159,7.19303878,,,transit,5010,1.06,5932,[56]
Kepler-851b,,0.15,8.50699658,,,transit,2830,0.89,5455,[56]
Kepler-852b,,0.227,44.9309804,,,transit,2790,1.19,6100,[56]
Kepler-853b,,0.151,7.16892463,,,transit,2000,1.3,6350,[56]
Kepler-854b,,1.492,2.14463285,,,transit,2420,1.17,6179,[56]
Kepler-855b,,0.745,7.8866311,,,transit,3400,1.03,5835,[56]
Kepler-856b,,0.83,8.02768059,,,transit,3830,0.96,5535,[56]
Kepler-857b,,0.607,85.35129427,,,transit,3390,0.99,5773,[56]
Kepler-858b,,0.434,76.13602028,,,transit,970,0.96,5653,[56]
Kepler-859b,,0.276,20.38177573,,,transit,2980,0.81,5020,[56]
Kepler-860b,,0.289,5.10137945,,,transit,4220,1.04,5836,[56]
Kepler-861b,,0.203,3.94963138,,,transit,2630,0.82,5047,[56]
Kepler-862b,,0.197,3.14866453,,,transit,2630,0.88,5333,[56]
Kepler-863b,,0.259,15.59461874,,,transit,3730,0.96,5678,[56]
Kepler-864b,,0.214,5.83376092,,,transit,5130,1,5754,[56]
